START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/13/17,01:05 PM,01:05 PM,Astros at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/13/17,05/13/17,04:05 PM,04:05 PM,FALSE,TRUE,05/13/17,12:05 PM,12:05 PM,FREE,BUSY
05/14/17,07:35 PM,07:35 PM,Astros at Yankees,Yankee Stadium - Bronx,"Local TV: ESPN",05/14/17,05/14/17,10:35 PM,10:35 PM,FALSE,TRUE,05/14/17,06:35 PM,06:35 PM,FREE,BUSY
05/16/17,08:15 PM,08:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,"Local TV: YES",05/16/17,05/16/17,11:15 PM,11:15 PM,FALSE,TRUE,05/16/17,07:15 PM,07:15 PM,FREE,BUSY
05/17/17,08:15 PM,08:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,"Local TV: YES",05/17/17,05/17/17,11:15 PM,11:15 PM,FALSE,TRUE,05/17/17,07:15 PM,07:15 PM,FREE,BUSY
05/18/17,08:15 PM,08:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,"",05/18/17,05/18/17,11:15 PM,11:15 PM,FALSE,TRUE,05/18/17,07:15 PM,07:15 PM,FREE,BUSY
05/19/17,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: WPIX",05/19/17,05/19/17,10:10 PM,10:10 PM,FALSE,TRUE,05/19/17,06:10 PM,06:10 PM,FREE,BUSY
05/20/17,04:10 PM,04:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES",05/20/17,05/20/17,07:10 PM,07:10 PM,FALSE,TRUE,05/20/17,03:10 PM,03:10 PM,FREE,BUSY
05/21/17,01:10 PM,01:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES",05/21/17,05/21/17,04:10 PM,04:10 PM,FALSE,TRUE,05/21/17,12:10 PM,12:10 PM,FREE,BUSY
05/22/17,07:05 PM,07:05 PM,Royals at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/22/17,05/22/17,10:05 PM,10:05 PM,FALSE,TRUE,05/22/17,06:05 PM,06:05 PM,FREE,BUSY
05/23/17,07:05 PM,07:05 PM,Royals at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/23/17,05/23/17,10:05 PM,10:05 PM,FALSE,TRUE,05/23/17,06:05 PM,06:05 PM,FREE,BUSY
05/24/17,07:05 PM,07:05 PM,Royals at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/24/17,05/24/17,10:05 PM,10:05 PM,FALSE,TRUE,05/24/17,06:05 PM,06:05 PM,FREE,BUSY
05/25/17,01:05 PM,01:05 PM,Royals at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/25/17,05/25/17,04:05 PM,04:05 PM,FALSE,TRUE,05/25/17,12:05 PM,12:05 PM,FREE,BUSY
05/26/17,07:05 PM,07:05 PM,Athletics at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",05/26/17,05/26/17,10:05 PM,10:05 PM,FALSE,TRUE,05/26/17,06:05 PM,06:05 PM,FREE,BUSY
05/27/17,01:05 PM,01:05 PM,Athletics at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/27/17,05/27/17,04:05 PM,04:05 PM,FALSE,TRUE,05/27/17,12:05 PM,12:05 PM,FREE,BUSY
05/28/17,01:05 PM,01:05 PM,Athletics at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/28/17,05/28/17,04:05 PM,04:05 PM,FALSE,TRUE,05/28/17,12:05 PM,12:05 PM,FREE,BUSY
